período,carga,apps,feature,método,nmae
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.10327455919395466,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.10866918555835431,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.0785002929115407,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.08277191954696347,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.08077260755048288,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.09292508047995317,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.09221859221859222,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.08222453222453223,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.0995091477019188,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.09420831474044325,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.11698903812338658,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.10923372865925896,
256,PeriodicLoad,BothApps,DispFrames,RT,0.23568575233022637,
256,PeriodicLoad,BothApps,DispFrames,RF,0.1850310696848646,
128,PeriodicLoad,BothApps,DispFrames,RT,0.18796484110885733,
128,PeriodicLoad,BothApps,DispFrames,RF,0.16970926301555103,
64,PeriodicLoad,BothApps,DispFrames,RT,0.13117932148626818,
64,PeriodicLoad,BothApps,DispFrames,RF,0.1364808831448573,
32,PeriodicLoad,BothApps,DispFrames,RT,0.12314563726272132,
32,PeriodicLoad,BothApps,DispFrames,RF,0.12060270112192267,
16,PeriodicLoad,BothApps,DispFrames,RT,0.1625490837696335,
16,PeriodicLoad,BothApps,DispFrames,RF,0.14088200807155324,
8,PeriodicLoad,BothApps,DispFrames,RT,0.16080402010050251,
8,PeriodicLoad,BothApps,DispFrames,RF,0.14989616102191172,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14631782945736435,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11356589147286823,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10784313725490197,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1105841503267974,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10799238820171266,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10284451316206789,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.13032104637336503,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11008422512881488,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11416503063834851,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11118150990540783,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10495626822157433,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1076969417504611,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.13443830570902393,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.09550337630448127,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.10620300751879698,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.10623041979949874,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.11103219696969698,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.0983270202020202,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.1030295885889426,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.1052949035325553,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.10392168221050804,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.10466218695089692,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.1057543223239622,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.0979100235009605,
