switch,regression_tree_noAudioPlayed_nmae,time_to_train_regression_tree_s,random_forest_noAudioPlayed_nmae,time_to_train_random_forest_s,
SWC1,0.3608329432620581,0.12867307662963867,0.3280868501795908,0.12867307662963867,
SWC2,0.2877024896812346,0.0026612281799316406,0.28757686068800226,0.0026612281799316406,
SWC3,0.2877024896812346,0.0030808448791503906,0.2875768606880022,0.0030808448791503906,
SWC4,0.28778943177119015,0.004087924957275391,0.28767259889243246,0.004087924957275391,
SWA1,0.3375743210269995,0.12288856506347656,0.31308682696106255,0.12288856506347656,
SWA2,0.34505331527386324,0.12282609939575195,0.31627650572847527,0.12282609939575195,
SWA3,0.2877024896812346,0.0032470226287841797,0.287576860688002,0.0032470226287841797,
SWA4,0.2877145777922148,0.003451108932495117,0.287588119721662,0.003451108932495117,
SWA5,0.3176429652720374,0.12885403633117676,0.2916836462964253,0.12885403633117676,
SWA6,0.2877024896812346,0.0025320053100585938,0.2875768606880022,0.0025320053100585938,
SWB1,0.32442476935998427,0.1243743896484375,0.29549539965865007,0.1243743896484375,
SWB2,0.34680282643986093,0.15695548057556152,0.32143961144356087,0.15695548057556152,
SWB3,0.35568275752173606,0.1538689136505127,0.32627738259842637,0.1538689136505127,
SWB4,0.3515633558744734,0.12798333168029785,0.323248516774066,0.12798333168029785,
